time_h,date,stage,flow
-0.0,01JAN2000 00:00:00,3.602,0.0
0.0833,01JAN2000 00:05:00,3.602,0.0
0.1667,01JAN2000 00:10:00,3.602,0.0
0.25,01JAN2000 00:15:00,3.602,0.0
0.3333,01JAN2000 00:20:00,3.602,0.0
0.4167,01JAN2000 00:25:00,3.602,0.0
0.5,01JAN2000 00:30:00,3.602,0.0
0.5833,01JAN2000 00:35:00,3.602,0.0
0.6667,01JAN2000 00:40:00,3.604,0.001
0.75,01JAN2000 00:45:00,3.606,0.002
0.8333,01JAN2000 00:50:00,3.607,0.003
0.9167,01JAN2000 00:55:00,3.608,0.004
1.0,01JAN2000 01:00:00,3.609,0.006
1.0833,01JAN2000 01:05:00,3.609,0.008
1.1667,01JAN2000 01:10:00,3.61,0.01
1.25,01JAN2000 01:15:00,3.61,0.012
1.3333,01JAN2000 01:20:00,3.611,0.013
1.4167,01JAN2000 01:25:00,3.611,0.015
1.5,01JAN2000 01:30:00,3.612,0.016
1.5833,01JAN2000 01:35:00,3.612,0.018
1.6667,01JAN2000 01:40:00,3.612,0.02
1.75,01JAN2000 01:45:00,3.613,0.023
1.8333,01JAN2000 01:50:00,3.613,0.025
1.9167,01JAN2000 01:55:00,3.613,0.028
2.0,01JAN2000 02:00:00,3.614,0.032
2.0833,01JAN2000 02:05:00,3.614,0.035
2.1667,01JAN2000 02:10:00,3.614,0.037
2.25,01JAN2000 02:15:00,3.614,0.039
2.3333,01JAN2000 02:20:00,3.614,0.042
2.4167,01JAN2000 02:25:00,3.615,0.044
2.5,01JAN2000 02:30:00,3.615,0.046
2.5833,01JAN2000 02:35:00,3.617,0.049
2.6667,01JAN2000 02:40:00,3.619,0.053
2.75,01JAN2000 02:45:00,3.622,0.058
2.8333,01JAN2000 02:50:00,3.88,0.063
2.9167,01JAN2000 02:55:00,3.873,0.069
3.0,01JAN2000 03:00:00,3.867,0.075
3.0833,01JAN2000 03:05:00,3.862,0.082
3.1667,01JAN2000 03:10:00,3.858,0.089
3.25,01JAN2000 03:15:00,3.856,0.098
3.3333,01JAN2000 03:20:00,3.857,0.106
3.4167,01JAN2000 03:25:00,3.86,0.116
3.5,01JAN2000 03:30:00,3.863,0.126
3.5833,01JAN2000 03:35:00,3.868,0.137
3.6667,01JAN2000 03:40:00,3.872,0.148
3.75,01JAN2000 03:45:00,3.876,0.158
3.8333,01JAN2000 03:50:00,3.879,0.168
3.9167,01JAN2000 03:55:00,3.883,0.179
4.0,01JAN2000 04:00:00,3.886,0.19
4.0833,01JAN2000 04:05:00,3.889,0.201
4.1667,01JAN2000 04:10:00,3.893,0.213
4.25,01JAN2000 04:15:00,3.897,0.227
4.3333,01JAN2000 04:20:00,3.902,0.241
4.4167,01JAN2000 04:25:00,3.911,0.261
4.5,01JAN2000 04:30:00,3.924,0.284
4.5833,01JAN2000 04:35:00,3.972,0.336
4.6667,01JAN2000 04:40:00,4.04,0.422
4.75,01JAN2000 04:45:00,4.095,0.521
4.8333,01JAN2000 04:50:00,4.157,0.659
4.9167,01JAN2000 04:55:00,4.197,0.798
5.0,01JAN2000 05:00:00,4.22,0.903
5.0833,01JAN2000 05:05:00,4.238,1.011
5.1667,01JAN2000 05:10:00,4.254,1.122
5.25,01JAN2000 05:15:00,4.267,1.24
5.3333,01JAN2000 05:20:00,4.278,1.362
5.4167,01JAN2000 05:25:00,4.283,1.509
5.5,01JAN2000 05:30:00,4.285,1.694
5.5833,01JAN2000 05:35:00,4.284,1.923
5.6667,01JAN2000 05:40:00,4.279,2.243
5.75,01JAN2000 05:45:00,4.276,2.619
5.8333,01JAN2000 05:50:00,4.272,3.051
5.9167,01JAN2000 05:55:00,4.274,3.441
6.0,01JAN2000 06:00:00,4.273,3.915
6.0833,01JAN2000 06:05:00,4.275,4.394
6.1667,01JAN2000 06:10:00,4.279,4.871
6.25,01JAN2000 06:15:00,4.283,5.33
6.3333,01JAN2000 06:20:00,4.287,5.763
6.4167,01JAN2000 06:25:00,4.291,6.198
6.5,01JAN2000 06:30:00,4.295,6.63
6.5833,01JAN2000 06:35:00,4.298,7.059
6.6667,01JAN2000 06:40:00,4.301,7.475
6.75,01JAN2000 06:45:00,4.303,7.862
6.8333,01JAN2000 06:50:00,4.306,8.253
6.9167,01JAN2000 06:55:00,4.307,8.64
7.0,01JAN2000 07:00:00,4.308,9.017
7.0833,01JAN2000 07:05:00,4.308,9.42
7.1667,01JAN2000 07:10:00,4.308,9.841
7.25,01JAN2000 07:15:00,4.309,10.215
7.3333,01JAN2000 07:20:00,4.31,10.606
7.4167,01JAN2000 07:25:00,4.311,10.993
7.5,01JAN2000 07:30:00,4.312,11.376
7.5833,01JAN2000 07:35:00,4.313,11.759
7.6667,01JAN2000 07:40:00,4.314,12.136
7.75,01JAN2000 07:45:00,4.314,12.554
7.8333,01JAN2000 07:50:00,4.314,12.951
7.9167,01JAN2000 07:55:00,4.315,13.348
8.0,01JAN2000 08:00:00,4.315,13.738
8.0833,01JAN2000 08:05:00,4.315,14.156
8.1667,01JAN2000 08:10:00,4.315,14.539
8.25,01JAN2000 08:15:00,4.316,14.937
8.3333,01JAN2000 08:20:00,4.316,15.329
8.4167,01JAN2000 08:25:00,4.317,15.739
8.5,01JAN2000 08:30:00,4.318,16.148
8.5833,01JAN2000 08:35:00,4.319,16.587
8.6667,01JAN2000 08:40:00,4.32,17.0
8.75,01JAN2000 08:45:00,4.322,17.48
8.8333,01JAN2000 08:50:00,4.324,17.993
8.9167,01JAN2000 08:55:00,4.327,18.55
9.0,01JAN2000 09:00:00,4.329,19.125
9.0833,01JAN2000 09:05:00,4.332,19.735
9.1667,01JAN2000 09:10:00,4.334,20.336
9.25,01JAN2000 09:15:00,4.336,20.947
9.3333,01JAN2000 09:20:00,4.338,21.558
9.4167,01JAN2000 09:25:00,4.339,22.199
9.5,01JAN2000 09:30:00,4.341,22.833
9.5833,01JAN2000 09:35:00,4.342,23.495
9.6667,01JAN2000 09:40:00,4.344,24.175
9.75,01JAN2000 09:45:00,4.345,24.897
9.8333,01JAN2000 09:50:00,4.347,25.622
9.9167,01JAN2000 09:55:00,4.349,26.405
10.0,01JAN2000 10:00:00,4.35,27.201
10.0833,01JAN2000 10:05:00,4.352,28.075
10.1667,01JAN2000 10:10:00,4.354,28.995
10.25,01JAN2000 10:15:00,4.357,30.031
10.3333,01JAN2000 10:20:00,4.359,31.102
10.4167,01JAN2000 10:25:00,4.362,32.299
10.5,01JAN2000 10:30:00,4.365,33.536
10.5833,01JAN2000 10:35:00,4.368,34.922
10.6667,01JAN2000 10:40:00,4.372,36.384
10.75,01JAN2000 10:45:00,4.377,38.074
10.8333,01JAN2000 10:50:00,4.382,39.81
10.9167,01JAN2000 10:55:00,4.387,41.797
11.0,01JAN2000 11:00:00,4.394,43.899
11.0833,01JAN2000 11:05:00,4.4,46.354
11.1667,01JAN2000 11:10:00,4.408,48.959
11.25,01JAN2000 11:15:00,4.416,52.171
11.3333,01JAN2000 11:20:00,4.426,55.762
11.4167,01JAN2000 11:25:00,4.436,60.373
11.5,01JAN2000 11:30:00,4.449,65.706
11.5833,01JAN2000 11:35:00,4.471,74.142
11.6667,01JAN2000 11:40:00,4.511,86.801
11.75,01JAN2000 11:45:00,4.56,107.08
11.8333,01JAN2000 11:50:00,4.603,131.098
11.9167,01JAN2000 11:55:00,4.661,181.271
12.0,01JAN2000 12:00:00,4.735,249.242
12.0833,01JAN2000 12:05:00,4.827,330.5
12.1667,01JAN2000 12:10:00,4.947,450.466
12.25,01JAN2000 12:15:00,5.049,578.404
12.3333,01JAN2000 12:20:00,5.099,672.927
12.4167,01JAN2000 12:25:00,5.101,711.514
12.5,01JAN2000 12:30:00,5.083,717.16
12.5833,01JAN2000 12:35:00,5.059,708.032
12.6667,01JAN2000 12:40:00,5.041,702.753
12.75,01JAN2000 12:45:00,5.038,713.783
12.8333,01JAN2000 12:50:00,5.058,755.07
12.9167,01JAN2000 12:55:00,5.107,836.032
13.0,01JAN2000 13:00:00,5.183,962.519
13.0833,01JAN2000 13:05:00,5.274,1123.529
13.1667,01JAN2000 13:10:00,5.369,1301.324
