time_h,date,stage,flow
-0.0,01JAN2000 00:00:00,1.356,0.0
0.0833,01JAN2000 00:05:00,1.356,0.0
0.1667,01JAN2000 00:10:00,1.356,0.0
0.25,01JAN2000 00:15:00,1.356,0.0
0.3333,01JAN2000 00:20:00,1.356,0.0
0.4167,01JAN2000 00:25:00,1.356,0.0
0.5,01JAN2000 00:30:00,1.356,0.0
0.5833,01JAN2000 00:35:00,1.356,0.0
0.6667,01JAN2000 00:40:00,1.356,0.0
0.75,01JAN2000 00:45:00,1.356,0.0
0.8333,01JAN2000 00:50:00,1.356,0.0
0.9167,01JAN2000 00:55:00,1.356,0.0
1.0,01JAN2000 01:00:00,1.356,0.001
1.0833,01JAN2000 01:05:00,1.356,0.002
1.1667,01JAN2000 01:10:00,1.356,0.003
1.25,01JAN2000 01:15:00,1.356,0.005
1.3333,01JAN2000 01:20:00,1.356,0.008
1.4167,01JAN2000 01:25:00,1.356,0.011
1.5,01JAN2000 01:30:00,1.356,0.016
1.5833,01JAN2000 01:35:00,1.356,0.021
1.6667,01JAN2000 01:40:00,1.356,0.026
1.75,01JAN2000 01:45:00,1.356,0.032
1.8333,01JAN2000 01:50:00,1.356,0.039
1.9167,01JAN2000 01:55:00,1.356,0.046
2.0,01JAN2000 02:00:00,1.356,0.054
2.0833,01JAN2000 02:05:00,1.357,0.063
2.1667,01JAN2000 02:10:00,1.359,0.072
2.25,01JAN2000 02:15:00,1.361,0.082
2.3333,01JAN2000 02:20:00,1.363,0.092
2.4167,01JAN2000 02:25:00,1.366,0.103
2.5,01JAN2000 02:30:00,1.368,0.113
2.5833,01JAN2000 02:35:00,1.369,0.125
2.6667,01JAN2000 02:40:00,1.371,0.137
2.75,01JAN2000 02:45:00,1.373,0.149
2.8333,01JAN2000 02:50:00,1.374,0.162
2.9167,01JAN2000 02:55:00,1.375,0.178
3.0,01JAN2000 03:00:00,1.376,0.195
3.0833,01JAN2000 03:05:00,1.378,0.211
3.1667,01JAN2000 03:10:00,1.378,0.226
3.25,01JAN2000 03:15:00,1.379,0.243
3.3333,01JAN2000 03:20:00,1.38,0.259
3.4167,01JAN2000 03:25:00,1.381,0.278
3.5,01JAN2000 03:30:00,1.382,0.297
3.5833,01JAN2000 03:35:00,1.383,0.319
3.6667,01JAN2000 03:40:00,1.384,0.341
3.75,01JAN2000 03:45:00,1.385,0.364
3.8333,01JAN2000 03:50:00,1.385,0.387
3.9167,01JAN2000 03:55:00,1.386,0.411
4.0,01JAN2000 04:00:00,1.387,0.434
4.0833,01JAN2000 04:05:00,1.388,0.458
4.1667,01JAN2000 04:10:00,1.389,0.481
4.25,01JAN2000 04:15:00,1.389,0.503
4.3333,01JAN2000 04:20:00,1.39,0.524
4.4167,01JAN2000 04:25:00,1.391,0.545
4.5,01JAN2000 04:30:00,1.392,0.563
4.5833,01JAN2000 04:35:00,1.392,0.583
4.6667,01JAN2000 04:40:00,1.393,0.6
4.75,01JAN2000 04:45:00,1.394,0.619
4.8333,01JAN2000 04:50:00,1.395,0.648
4.9167,01JAN2000 04:55:00,1.395,0.789
